日期,宠主ID,宠主姓名,宠物类型,服务项目,消费金额,医生,客户来源
2025-01-07,C03097,客户3097,猫,洗护,176,李医生,新客户
2025-01-07,C03299,客户3299,其他,疫苗,95,张医生,新客户
2025-01-08,C02908,客户2908,狗,疫苗,83,李医生,老客户
2025-01-08,C03807,客户3807,狗,看病,399,王医生,老客户
2025-01-08,C02727,客户2727,其他,看病,316,王医生,老客户
2025-01-08,C03955,客户3955,狗,绝育,343,刘医生,新客户
2025-01-08,C03821,客户3821,其他,疫苗,112,王医生,新客户
2025-01-08,C03163,客户3163,猫,绝育,375,李医生,新客户
2025-01-09,C03066,客户3066,狗,看病,253,李医生,新客户
2025-01-09,C03652,客户3652,狗,疫苗,149,王医生,老客户
2025-01-09,C03098,客户3098,狗,体检,157,张医生,新客户
2025-01-09,C03522,客户3522,狗,疫苗,119,王医生,老客户
2025-01-09,C03272,客户3272,猫,看病,277,刘医生,新客户
2025-01-09,C03149,客户3149,猫,绝育,325,刘医生,老客户
2025-01-09,C03055,客户3055,狗,看病,443,王医生,老客户
2025-01-09,C03559,客户3559,狗,疫苗,138,陈医生,新客户
2025-01-09,C03359,客户3359,猫,洗护,225,张医生,老客户
2025-01-10,C03505,客户3505,其他,洗护,173,张医生,老客户
2025-01-10,C03103,客户3103,猫,体检,348,李医生,新客户
2025-01-10,C03870,客户3870,狗,疫苗,149,刘医生,老客户
2025-01-10,C02738,客户2738,猫,体检,207,张医生,新客户
2025-01-10,C03556,客户3556,狗,疫苗,105,刘医生,新客户
2025-01-10,C03255,客户3255,其他,疫苗,101,张医生,新客户
2025-01-10,C02902,客户2902,狗,疫苗,120,李医生,新客户
2025-01-10,C03544,客户3544,猫,疫苗,150,张医生,老客户
2025-01-10,C02952,客户2952,狗,疫苗,121,张医生,新客户
2025-01-10,C03482,客户3482,猫,疫苗,119,张医生,老客户
2025-01-10,C02802,客户2802,猫,体检,314,王医生,新客户
2025-01-10,C03202,客户3202,狗,看病,712,王医生,老客户
2025-01-10,C03107,客户3107,猫,看病,680,张医生,新客户
2025-01-10,C02923,客户2923,狗,看病,463,王医生,老客户
2025-01-11,C03656,客户3656,狗,体检,341,刘医生,老客户
2025-01-11,C03226,客户3226,狗,看病,789,李医生,新客户
2025-01-11,C03189,客户3189,猫,看病,476,张医生,新客户
2025-01-11,C03085,客户3085,猫,疫苗,106,张医生,老客户
2025-01-11,C03347,客户3347,狗,绝育,534,陈医生,新客户
2025-01-11,C03248,客户3248,猫,绝育,500,李医生,老客户
2025-01-11,C02794,客户2794,狗,疫苗,114,李医生,新客户
2025-01-11,C02995,客户2995,猫,体检,298,李医生,老客户
2025-01-11,C02738,客户2738,其他,疫苗,119,王医生,老客户
2025-01-12,C03929,客户3929,狗,疫苗,124,李医生,老客户
2025-01-12,C03192,客户3192,狗,疫苗,108,王医生,老客户
2025-01-12,C03778,客户3778,狗,疫苗,128,王医生,新客户
2025-01-12,C03746,客户3746,狗,疫苗,96,李医生,新客户
2025-01-12,C03616,客户3616,猫,看病,521,王医生,新客户
2025-01-12,C03575,客户3575,猫,看病,577,李医生,老客户
2025-01-12,C03656,客户3656,猫,看病,798,王医生,新客户
2025-01-12,C03178,客户3178,猫,疫苗,129,张医生,新客户
2025-01-13,C03385,客户3385,猫,疫苗,87,张医生,老客户
2025-01-13,C03760,客户3760,狗,看病,506,王医生,老客户
2025-01-13,C03272,客户3272,猫,疫苗,118,李医生,新客户
2025-01-13,C03912,客户3912,猫,绝育,420,张医生,新客户
2025-01-13,C02917,客户2917,狗,绝育,519,王医生,老客户
2025-01-13,C03155,客户3155,狗,疫苗,112,李医生,新客户
2025-01-13,C03222,客户3222,猫,看病,294,王医生,老客户
2025-01-13,C03557,客户3557,狗,绝育,485,张医生,新客户
2025-01-14,C03857,客户3857,猫,绝育,562,陈医生,老客户
2025-01-14,C02823,客户2823,狗,洗护,188,王医生,老客户
2025-01-14,C02850,客户2850,猫,疫苗,110,陈医生,老客户
2025-01-14,C03576,客户3576,猫,疫苗,94,李医生,老客户
2025-01-14,C02873,客户2873,狗,疫苗,146,刘医生,新客户
2025-01-14,C02748,客户2748,狗,看病,245,王医生,新客户
2025-01-14,C02850,客户2850,猫,疫苗,94,李医生,老客户
2025-01-14,C03816,客户3816,狗,洗护,183,李医生,新客户
2025-01-14,C03298,客户3298,狗,看病,678,张医生,新客户
2025-01-14,C03461,客户3461,其他,洗护,226,张医生,老客户
2025-01-14,C02789,客户2789,狗,疫苗,115,张医生,老客户
2025-01-14,C03188,客户3188,猫,疫苗,147,陈医生,新客户
2025-01-14,C02738,客户2738,其他,疫苗,136,李医生,新客户
2025-01-14,C03793,客户3793,狗,看病,289,王医生,老客户
2025-01-14,C03058,客户3058,猫,体检,154,刘医生,新客户
2025-01-14,C03665,客户3665,猫,体检,283,张医生,新客户
2025-01-14,C03270,客户3270,猫,疫苗,105,李医生,老客户
2025-01-14,C03489,客户3489,猫,疫苗,142,李医生,新客户
2025-01-15,C03131,客户3131,猫,疫苗,119,李医生,新客户
2025-01-15,C03088,客户3088,狗,看病,656,陈医生,老客户
2025-01-15,C03337,客户3337,猫,疫苗,144,王医生,新客户
2025-01-15,C03113,客户3113,狗,疫苗,113,张医生,新客户
2025-01-15,C03634,客户3634,猫,疫苗,97,张医生,新客户
2025-01-15,C03890,客户3890,猫,疫苗,137,李医生,老客户
2025-01-15,C03849,客户3849,狗,疫苗,138,张医生,新客户
2025-01-15,C03238,客户3238,其他,疫苗,82,王医生,新客户
2025-01-15,C02898,客户2898,狗,洗护,200,王医生,新客户
2025-01-15,C03451,客户3451,猫,看病,685,王医生,新客户
2025-01-16,C03448,客户3448,其他,疫苗,122,王医生,老客户
2025-01-16,C02960,客户2960,狗,洗护,231,李医生,新客户
2025-01-16,C03315,客户3315,猫,洗护,226,刘医生,新客户
2025-01-16,C02816,客户2816,其他,疫苗,85,王医生,新客户
2025-01-16,C03204,客户3204,狗,洗护,140,王医生,新客户
2025-01-16,C03549,客户3549,狗,疫苗,115,张医生,新客户
2025-01-16,C02872,客户2872,其他,体检,169,张医生,老客户
2025-01-16,C03574,客户3574,狗,绝育,557,王医生,新客户
2025-01-16,C03785,客户3785,猫,洗护,116,陈医生,老客户
2025-01-16,C03178,客户3178,狗,体检,259,王医生,老客户
2025-01-17,C03692,客户3692,狗,疫苗,135,陈医生,新客户
2025-01-17,C02845,客户2845,猫,疫苗,83,李医生,新客户
2025-01-17,C02877,客户2877,猫,体检,341,李医生,老客户
2025-01-17,C02966,客户2966,猫,疫苗,114,刘医生,新客户
2025-01-17,C02829,客户2829,其他,洗护,213,刘医生,老客户
2025-01-17,C03543,客户3543,狗,体检,286,李医生,新客户
2025-01-17,C03290,客户3290,猫,看病,431,李医生,新客户
2025-01-17,C03290,客户3290,狗,疫苗,87,王医生,老客户
2025-01-17,C02805,客户2805,狗,疫苗,83,刘医生,老客户
2025-01-17,C03524,客户3524,其他,疫苗,111,李医生,新客户
2025-01-17,C03861,客户3861,猫,疫苗,97,张医生,新客户
2025-01-18,C03776,客户3776,猫,疫苗,124,李医生,新客户
2025-01-18,C03200,客户3200,狗,绝育,507,李医生,老客户
2025-01-18,C03838,客户3838,猫,疫苗,81,王医生,新客户
2025-01-18,C03789,客户3789,猫,绝育,443,王医生,新客户
2025-01-18,C02948,客户2948,猫,疫苗,136,刘医生,老客户
2025-01-18,C03785,客户3785,狗,疫苗,128,陈医生,新客户
2025-01-18,C03565,客户3565,狗,绝育,466,王医生,新客户
2025-01-18,C03145,客户3145,猫,看病,507,王医生,新客户
2025-01-18,C03442,客户3442,猫,洗护,136,李医生,新客户
2025-01-18,C03499,客户3499,猫,洗护,239,李医生,新客户
2025-01-18,C03472,客户3472,猫,体检,297,李医生,新客户
2025-01-18,C03394,客户3394,猫,疫苗,117,王医生,新客户
2025-01-18,C03236,客户3236,猫,疫苗,127,李医生,新客户
2025-01-18,C03123,客户3123,猫,疫苗,127,李医生,老客户
2025-01-18,C03652,客户3652,狗,疫苗,129,李医生,新客户
2025-01-18,C03098,客户3098,猫,洗护,119,王医生,新客户
2025-01-18,C03448,客户3448,狗,绝育,476,李医生,老客户
2025-01-18,C02861,客户2861,猫,洗护,133,张医生,新客户
2025-01-18,C03357,客户3357,猫,疫苗,95,张医生,新客户
2025-01-19,C03129,客户3129,狗,疫苗,88,李医生,老客户
2025-01-19,C03418,客户3418,狗,洗护,226,王医生,老客户
2025-01-19,C03839,客户3839,猫,疫苗,104,刘医生,老客户
2025-01-19,C03132,客户3132,狗,疫苗,126,李医生,新客户
2025-01-19,C03986,客户3986,狗,疫苗,104,李医生,新客户
2025-01-19,C02725,客户2725,狗,看病,799,张医生,新客户
2025-01-19,C03738,客户3738,猫,绝育,347,李医生,新客户
2025-01-19,C03009,客户3009,狗,疫苗,119,王医生,新客户
2025-01-19,C03527,客户3527,狗,疫苗,110,李医生,老客户
2025-01-19,C03482,客户3482,猫,疫苗,141,王医生,新客户
2025-01-19,C03987,客户3987,狗,疫苗,116,刘医生,新客户
2025-01-19,C03376,客户3376,猫,疫苗,109,李医生,新客户
2025-01-19,C03331,客户3331,猫,洗护,133,张医生,老客户
2025-01-19,C03721,客户3721,猫,疫苗,142,李医生,新客户
2025-01-19,C03321,客户3321,狗,疫苗,103,李医生,老客户
2025-01-20,C03226,客户3226,猫,疫苗,94,李医生,老客户
2025-01-20,C03015,客户3015,狗,绝育,595,王医生,新客户
2025-01-20,C02995,客户2995,猫,疫苗,119,李医生,老客户
2025-01-20,C02794,客户2794,猫,疫苗,122,李医生,新客户
2025-01-20,C03560,客户3560,狗,疫苗,93,李医生,新客户
2025-01-20,C03862,客户3862,狗,看病,732,陈医生,老客户
2025-01-20,C02836,客户2836,狗,疫苗,85,王医生,新客户
2025-01-20,C02877,客户2877,猫,绝育,587,李医生,老客户
2025-01-20,C03921,客户3921,狗,洗护,104,王医生,新客户
2025-01-20,C03347,客户3347,其他,体检,321,刘医生,老客户
2025-01-20,C02829,客户2829,猫,洗护,249,张医生,新客户
2025-01-20,C03101,客户3101,猫,疫苗,81,张医生,新客户
2025-01-20,C03867,客户3867,狗,洗护,198,张医生,新客户
2025-01-20,C03318,客户3318,猫,疫苗,108,王医生,老客户
2025-01-20,C03849,客户3849,猫,洗护,202,李医生,新客户
2025-01-20,C03172,客户3172,狗,疫苗,99,张医生,老客户
2025-01-20,C03971,客户3971,猫,疫苗,125,李医生,新客户
2025-01-20,C03849,客户3849,猫,绝育,301,张医生,新客户
2025-01-21,C02783,客户2783,狗,绝育,556,王医生,新客户
2025-01-21,C02861,客户2861,猫,疫苗,119,张医生,老客户
2025-01-21,C02887,客户2887,猫,疫苗,133,李医生,新客户
2025-01-21,C03764,客户3764,狗,疫苗,92,刘医生,新客户
2025-01-21,C03194,客户3194,狗,洗护,143,刘医生,老客户
2025-01-21,C03713,客户3713,狗,绝育,506,张医生,新客户
2025-01-21,C02900,客户2900,猫,体检,153,李医生,老客户
2025-01-21,C03816,客户3816,猫,疫苗,117,李医生,老客户
2025-01-21,C02844,客户2844,猫,看病,336,李医生,老客户
2025-01-21,C03709,客户3709,猫,疫苗,145,李医生,新客户
2025-01-21,C02825,客户2825,狗,疫苗,84,李医生,新客户
2025-01-22,C03880,客户3880,猫,体检,164,刘医生,老客户
2025-01-22,C03772,客户3772,猫,疫苗,94,张医生,新客户
2025-01-22,C03189,客户3189,其他,绝育,375,王医生,新客户
2025-01-22,C02755,客户2755,猫,绝育,496,李医生,老客户
2025-01-22,C03206,客户3206,狗,疫苗,91,李医生,新客户
2025-01-22,C03194,客户3194,狗,看病,559,李医生,新客户
2025-01-22,C02919,客户2919,猫,疫苗,145,张医生,新客户
2025-01-22,C03634,客户3634,其他,看病,753,李医生,新客户
2025-01-22,C02795,客户2795,猫,疫苗,99,陈医生,老客户
2025-01-22,C03534,客户3534,猫,疫苗,87,刘医生,新客户
2025-01-22,C03792,客户3792,猫,看病,521,李医生,新客户
2025-01-22,C03472,客户3472,狗,疫苗,130,王医生,新客户
2025-01-22,C03461,客户3461,猫,洗护,166,李医生,新客户
2025-01-22,C03519,客户3519,狗,洗护,136,刘医生,新客户
2025-01-22,C03153,客户3153,狗,疫苗,91,王医生,老客户
2025-01-22,C03309,客户3309,猫,看病,766,王医生,新客户
2025-01-22,C02803,客户2803,狗,绝育,572,王医生,新客户
2025-01-22,C03934,客户3934,狗,看病,632,张医生,老客户
2025-01-22,C03340,客户3340,猫,绝育,552,张医生,老客户
2025-01-23,C02844,客户2844,狗,看病,517,张医生,老客户
2025-01-23,C03972,客户3972,猫,疫苗,97,李医生,新客户
2025-01-23,C03372,客户3372,猫,体检,340,王医生,新客户
2025-01-23,C03360,客户3360,狗,看病,614,刘医生,新客户
2025-01-23,C02900,客户2900,猫,疫苗,115,李医生,新客户
2025-01-23,C03359,客户3359,猫,疫苗,89,刘医生,新客户
2025-01-23,C03743,客户3743,其他,洗护,111,李医生,新客户
2025-01-23,C03358,客户3358,猫,疫苗,99,王医生,老客户
2025-01-23,C03189,客户3189,猫,绝育,401,陈医生,新客户
2025-01-23,C03277,客户3277,狗,绝育,423,刘医生,新客户
2025-01-23,C03109,客户3109,猫,疫苗,142,王医生,老客户
2025-01-23,C02985,客户2985,狗,疫苗,131,王医生,新客户
2025-01-23,C02841,客户2841,猫,绝育,562,王医生,新客户
2025-01-23,C03442,客户3442,狗,疫苗,108,张医生,老客户
2025-01-23,C02973,客户2973,狗,疫苗,111,王医生,新客户
2025-01-24,C03773,客户3773,狗,体检,346,李医生,新客户
2025-01-24,C02941,客户2941,其他,洗护,187,张医生,新客户
2025-01-24,C02862,客户2862,猫,疫苗,104,李医生,老客户
2025-01-24,C03372,客户3372,狗,看病,609,李医生,新客户
2025-01-24,C03620,客户3620,猫,体检,259,陈医生,老客户
2025-01-24,C03269,客户3269,其他,洗护,198,王医生,新客户
2025-01-24,C03939,客户3939,狗,疫苗,118,王医生,老客户
2025-01-24,C03613,客户3613,猫,洗护,107,王医生,新客户
2025-01-24,C03218,客户3218,狗,疫苗,80,王医生,老客户
2025-01-24,C03848,客户3848,狗,疫苗,142,张医生,新客户
2025-01-24,C03044,客户3044,其他,洗护,101,张医生,新客户
2025-01-24,C03839,客户3839,猫,体检,172,张医生,老客户
2025-01-24,C03734,客户3734,狗,疫苗,81,刘医生,新客户
2025-01-24,C03883,客户3883,其他,看病,202,刘医生,老客户
2025-01-24,C03424,客户3424,狗,疫苗,128,王医生,老客户
2025-01-24,C03875,客户3875,狗,疫苗,144,张医生,新客户
2025-01-24,C03807,客户3807,狗,体检,204,张医生,新客户
2025-01-25,C03549,客户3549,狗,看病,624,李医生,老客户
2025-01-25,C03297,客户3297,猫,疫苗,148,陈医生,新客户
2025-01-25,C02790,客户2790,狗,疫苗,93,李医生,新客户
2025-01-25,C03222,客户3222,猫,体检,327,李医生,新客户
2025-01-25,C02898,客户2898,其他,绝育,573,张医生,老客户
2025-01-25,C03066,客户3066,狗,疫苗,120,王医生,新客户
2025-01-25,C03578,客户3578,猫,疫苗,143,李医生,老客户
2025-01-25,C03630,客户3630,狗,疫苗,119,张医生,新客户
2025-01-25,C02748,客户2748,狗,看病,699,李医生,新客户
2025-01-25,C03930,客户3930,狗,洗护,224,李医生,老客户
2025-01-25,C03034,客户3034,猫,体检,212,刘医生,新客户
2025-01-26,C03773,客户3773,猫,体检,156,李医生,老客户
2025-01-26,C03960,客户3960,猫,疫苗,138,王医生,新客户
2025-01-26,C03097,客户3097,猫,看病,211,李医生,新客户
2025-01-26,C03684,客户3684,狗,绝育,422,张医生,老客户
2025-01-26,C02829,客户2829,狗,疫苗,84,刘医生,新客户
2025-01-26,C03309,客户3309,狗,疫苗,145,李医生,新客户
2025-01-26,C03909,客户3909,狗,洗护,196,王医生,新客户
2025-01-26,C03927,客户3927,狗,看病,740,陈医生,新客户
2025-01-26,C02823,客户2823,狗,绝育,343,陈医生,新客户
2025-01-26,C03247,客户3247,狗,疫苗,127,王医生,新客户
2025-01-26,C02781,客户2781,狗,疫苗,139,陈医生,老客户
2025-01-26,C03815,客户3815,猫,体检,176,张医生,老客户
2025-01-26,C03477,客户3477,狗,疫苗,81,李医生,新客户
2025-01-26,C03202,客户3202,猫,洗护,170,张医生,新客户
2025-01-26,C02725,客户2725,狗,疫苗,138,李医生,新客户
2025-01-26,C03721,客户3721,狗,绝育,512,李医生,新客户
2025-01-26,C02999,客户2999,猫,疫苗,140,刘医生,新客户
2025-01-26,C03862,客户3862,其他,疫苗,115,张医生,新客户
2025-01-26,C03182,客户3182,狗,看病,241,李医生,老客户
2025-01-26,C03574,客户3574,狗,疫苗,120,王医生,老客户
2025-01-26,C02956,客户2956,猫,疫苗,96,李医生,新客户
2025-01-26,C02789,客户2789,猫,绝育,496,李医生,新客户
2025-01-27,C03606,客户3606,猫,疫苗,134,王医生,新客户
2025-01-27,C02730,客户2730,猫,看病,356,陈医生,新客户
2025-01-27,C03060,客户3060,狗,疫苗,117,刘医生,老客户
2025-01-27,C03373,客户3373,狗,疫苗,80,王医生,新客户
2025-01-27,C03971,客户3971,狗,洗护,189,李医生,新客户
2025-01-27,C03560,客户3560,猫,疫苗,96,陈医生,新客户
2025-01-27,C03035,客户3035,猫,看病,492,王医生,新客户
2025-01-27,C03629,客户3629,猫,疫苗,142,张医生,新客户
2025-01-27,C03318,客户3318,狗,绝育,469,李医生,老客户
2025-01-27,C02873,客户2873,狗,疫苗,100,李医生,老客户
2025-01-28,C03360,客户3360,其他,疫苗,116,张医生,新客户
2025-01-28,C03073,客户3073,猫,体检,315,王医生,新客户
2025-01-28,C03200,客户3200,狗,体检,178,李医生,新客户
2025-01-28,C03748,客户3748,狗,疫苗,146,刘医生,新客户
2025-01-28,C03013,客户3013,狗,洗护,139,张医生,老客户
2025-01-28,C02842,客户2842,猫,体检,345,刘医生,新客户
2025-01-28,C03277,客户3277,狗,绝育,504,张医生,新客户
2025-01-28,C03723,客户3723,猫,体检,350,李医生,老客户
2025-01-28,C03930,客户3930,狗,洗护,182,王医生,老客户
2025-01-28,C02816,客户2816,猫,疫苗,97,张医生,新客户
2025-01-28,C03803,客户3803,狗,疫苗,140,陈医生,老客户
2025-01-29,C03584,客户3584,猫,看病,314,王医生,新客户
2025-01-29,C02774,客户2774,其他,绝育,514,李医生,新客户
2025-01-29,C03970,客户3970,狗,洗护,224,张医生,新客户
2025-01-29,C03388,客户3388,猫,疫苗,114,王医生,老客户
2025-01-29,C03441,客户3441,猫,疫苗,127,王医生,新客户
2025-01-29,C02916,客户2916,猫,看病,544,刘医生,老客户
2025-01-29,C02942,客户2942,猫,洗护,243,张医生,新客户
2025-01-29,C02772,客户2772,狗,疫苗,97,李医生,新客户
2025-01-29,C03299,客户3299,猫,疫苗,147,张医生,老客户
2025-01-29,C02905,客户2905,狗,疫苗,116,陈医生,老客户
2025-01-29,C03522,客户3522,狗,体检,280,王医生,新客户
2025-01-29,C02845,客户2845,狗,疫苗,98,张医生,老客户
2025-01-29,C03069,客户3069,猫,看病,206,李医生,新客户
2025-01-30,C03094,客户3094,狗,洗护,218,王医生,新客户
2025-01-30,C02709,客户2709,猫,洗护,150,张医生,新客户
2025-01-30,C03331,客户3331,猫,疫苗,141,刘医生,新客户
2025-01-30,C03273,客户3273,猫,洗护,177,张医生,新客户
2025-01-30,C02802,客户2802,猫,体检,162,陈医生,老客户
2025-01-30,C03551,客户3551,狗,绝育,430,陈医生,新客户
2025-01-30,C03807,客户3807,狗,洗护,214,刘医生,老客户
2025-01-30,C02850,客户2850,狗,疫苗,85,张医生,新客户
2025-01-30,C03055,客户3055,猫,绝育,494,张医生,新客户
2025-01-30,C03875,客户3875,猫,绝育,302,王医生,新客户
2025-01-30,C03182,客户3182,猫,疫苗,119,张医生,老客户
2025-01-30,C02900,客户2900,猫,疫苗,132,李医生,新客户
2025-01-30,C03988,客户3988,猫,洗护,176,张医生,新客户
2025-01-30,C03231,客户3231,狗,疫苗,120,张医生,新客户
2025-01-30,C02725,客户2725,狗,绝育,336,陈医生,老客户
2025-01-30,C03166,客户3166,猫,绝育,395,王医生,新客户
2025-01-31,C03574,客户3574,猫,疫苗,122,张医生,新客户
2025-01-31,C03513,客户3513,猫,疫苗,139,陈医生,新客户
2025-01-31,C03767,客户3767,狗,疫苗,123,王医生,新客户
2025-01-31,C02871,客户2871,猫,疫苗,88,李医生,新客户
2025-01-31,C03163,客户3163,猫,疫苗,112,刘医生,老客户
2025-01-31,C02794,客户2794,猫,绝育,366,李医生,老客户
2025-01-31,C03663,客户3663,猫,疫苗,114,王医生,新客户
2025-01-31,C03159,客户3159,其他,绝育,327,陈医生,新客户
2025-01-31,C02825,客户2825,猫,看病,270,王医生,老客户
2025-01-31,C03031,客户3031,猫,疫苗,132,陈医生,新客户
2025-01-31,C03055,客户3055,其他,疫苗,111,张医生,新客户
2025-01-31,C03229,客户3229,猫,疫苗,137,李医生,新客户
2025-01-31,C03736,客户3736,猫,洗护,171,张医生,老客户
2025-01-31,C03366,客户3366,狗,疫苗,98,张医生,老客户
2025-02-01,C03587,客户3587,猫,看病,341,李医生,老客户
2025-02-01,C03656,客户3656,狗,看病,766,李医生,新客户
2025-02-01,C03166,客户3166,狗,体检,274,李医生,新客户
2025-02-01,C03315,客户3315,猫,体检,220,刘医生,新客户
2025-02-01,C02715,客户2715,猫,洗护,185,张医生,老客户
2025-02-01,C03955,客户3955,狗,疫苗,125,陈医生,老客户
2025-02-01,C03839,客户3839,其他,疫苗,146,刘医生,老客户
2025-02-01,C03543,客户3543,猫,看病,228,李医生,新客户
2025-02-01,C03624,客户3624,猫,疫苗,116,陈医生,新客户
2025-02-01,C02895,客户2895,狗,疫苗,122,王医生,新客户
2025-02-01,C03646,客户3646,猫,看病,666,李医生,新客户
2025-02-02,C03838,客户3838,狗,洗护,236,张医生,新客户
2025-02-02,C03935,客户3935,狗,看病,754,王医生,新客户
2025-02-02,C03441,客户3441,狗,疫苗,133,张医生,新客户
2025-02-02,C03411,客户3411,猫,疫苗,143,王医生,新客户
2025-02-02,C02746,客户2746,狗,体检,166,李医生,新客户
2025-02-02,C03845,客户3845,狗,疫苗,145,陈医生,老客户
2025-02-02,C03650,客户3650,狗,看病,434,李医生,新客户
2025-02-02,C03796,客户3796,狗,洗护,213,刘医生,新客户
2025-02-02,C03245,客户3245,狗,看病,272,李医生,新客户
2025-02-02,C03924,客户3924,猫,疫苗,133,刘医生,老客户
2025-02-02,C03560,客户3560,狗,洗护,171,李医生,新客户
2025-02-02,C03378,客户3378,猫,疫苗,87,李医生,新客户
2025-02-02,C02931,客户2931,狗,看病,302,李医生,老客户
2025-02-02,C03054,客户3054,狗,绝育,383,李医生,老客户
